timestamp	open	high	low	close	adjusted_close	volume	dividend_amount	split_coefficient
09.02.2018	157,07	157,89	150,24	155,59	155,59	58634975	0	1
08.02.2018	160,29	161	155,03	155,15	155,15	49594129	0	1
07.02.2018	163,085	163,4	159,0685	159,54	159,54	50852130	0	1
06.02.2018	154,83	163,72	154	163,03	163,03	66625484	0	1
05.02.2018	159,1	163,88	156	156,49	156,49	66090446	0	1
02.02.2018	166	166,8	160,1	160,5	160,5	85436075	0	1
01.02.2018	167,165	168,62	166,76	167,78	167,78	38099665	0	1
31.01.2018	166,87	168,4417	166,5	167,43	167,43	30984099	0	1
30.01.2018	165,525	167,37	164,7	166,97	166,97	45137026	0	1
29.01.2018	170,16	170,16	167,07	167,96	167,96	48434424	0	1
26.01.2018	172	172	170,06	171,51	171,51	37121805	0	1
25.01.2018	174,505	174,95	170,53	171,11	171,11	39661804	0	1
24.01.2018	177,25	177,3	173,2	174,22	174,22	50562257	0	1
23.01.2018	177,3	179,44	176,82	177,04	177,04	31702531	0	1
22.01.2018	177,3	177,78	176,6016	177	177	26023683	0	1
19.01.2018	178,61	179,58	177,41	178,46	178,46	30827809	0	1
18.01.2018	179,37	180,1	178,25	179,26	179,26	30234512	0	1
17.01.2018	176,15	179,25	175,07	179,1	179,1	32752734	0	1
16.01.2018	177,9	179,39	176,14	176,19	176,19	29159005	0	1
12.01.2018	176,18	177,36	175,65	177,09	177,09	25039531	0	1
11.01.2018	174,59	175,4886	174,49	175,28	175,28	17523256	0	1
10.01.2018	173,16	174,3	173	174,29	174,29	23589129	0	1
09.01.2018	174,55	175,06	173,41	174,33	174,33	21262614	0	1
08.01.2018	174,35	175,61	173,93	174,35	174,35	20134092	0	1
05.01.2018	173,44	175,37	173,05	175	175	23016177	0	1
04.01.2018	172,54	173,47	172,08	173,03	173,03	22211345	0	1
03.01.2018	172,53	174,55	171,96	172,23	172,23	28819653	0	1
02.01.2018	170,16	172,3	169,26	172,26	172,26	25048048	0	1
29.12.2017	170,52	170,59	169,22	169,23	169,23	25643711	0	1
28.12.2017	171	171,85	170,48	171,08	171,08	15997739	0	1
27.12.2017	170,1	170,78	169,71	170,6	170,6	21672062	0	1
26.12.2017	170,8	171,47	169,679	170,57	170,57	32968167	0	1
22.12.2017	174,68	175,424	174,5	175,01	175,01	16052615	0	1
21.12.2017	174,17	176,02	174,1	175,01	175,01	20356826	0	1
20.12.2017	174,87	175,42	173,25	174,35	174,35	23000392	0	1
19.12.2017	175,03	175,39	174,09	174,54	174,54	27078872	0	1
18.12.2017	174,88	177,2	174,86	176,42	176,42	28831533	0	1
15.12.2017	173,63	174,17	172,46	173,97	173,97	37054632	0	1
14.12.2017	172,4	173,13	171,65	172,22	172,22	20219307	0	1
13.12.2017	172,5	173,54	172	172,27	172,27	23142242	0	1
12.12.2017	172,15	172,39	171,461	171,7	171,7	18945457	0	1
11.12.2017	169,2	172,89	168,79	172,67	172,67	33092051	0	1
08.12.2017	170,49	171	168,82	169,37	169,37	23096872	0	1
07.12.2017	169,03	170,44	168,91	169,32	169,32	24469613	0	1
06.12.2017	167,5	170,2047	166,46	169,01	169,01	28224357	0	1
05.12.2017	169,06	171,52	168,4	169,64	169,64	27008428	0	1
04.12.2017	172,48	172,62	169,63	169,8	169,8	32115052	0	1
01.12.2017	169,95	171,67	168,5	171,05	171,05	39590080	0	1
30.11.2017	170,43	172,14	168,44	171,85	171,85	40172368	0	1
29.11.2017	172,63	172,92	167,16	169,48	169,48	40788324	0	1
28.11.2017	174,3	174,87	171,86	173,07	173,07	25468442	0	1
27.11.2017	175,05	175,08	173,34	174,09	174,09	20536313	0	1
24.11.2017	175,1	175,5	174,6459	174,97	174,97	14026519	0	1
22.11.2017	173,36	175	173,05	174,96	174,96	24997274	0	1
21.11.2017	170,78	173,7	170,78	173,14	173,14	24875471	0	1
20.11.2017	170,29	170,56	169,56	169,98	169,98	15974387	0	1
17.11.2017	171,04	171,39	169,64	170,15	170,15	21665811	0	1
16.11.2017	171,18	171,87	170,3	171,1	171,1	23497326	0	1
15.11.2017	169,97	170,3197	168,38	169,08	169,08	28702351	0	1
14.11.2017	173,04	173,48	171,18	171,34	171,34	23588451	0	1
13.11.2017	173,5	174,5	173,4	173,97	173,97	16828025	0	1
10.11.2017	175,11	175,38	174,27	174,67	174,67	25061183	0,63	1
09.11.2017	175,11	176,095	173,14	175,88	175,2479	28636531	0	1
08.11.2017	174,66	176,24	174,33	176,24	175,6066	24409527	0	1
07.11.2017	173,91	175,25	173,6	174,81	174,1818	23910914	0	1
06.11.2017	172,365	174,99	171,72	174,25	173,6238	34242566	0	1
03.11.2017	174	174,26	171,12	172,5	171,8801	58683826	0	1
02.11.2017	167,64	168,5	165,28	168,11	167,5058	32710040	0	1
01.11.2017	169,87	169,94	165,61	166,89	166,2902	33100847	0	1
31.10.2017	167,9	169,6499	166,94	169,04	168,4325	35474672	0	1
30.10.2017	163,89	168,07	163,72	166,72	166,1208	43923292	0	1
