timestamp,open,high,low,close,volume
2018-03-02,91.5800,93.1500,90.8600,93.0500,32830389
2018-03-01,93.9900,94.5700,91.8400,92.8500,37135561
2018-02-28,94.8400,95.7050,93.6300,93.7700,29314525
2018-02-27,95.7400,95.8400,94.2000,94.2000,25540755
2018-02-26,94.4000,95.4500,94.2500,95.4200,29760276
2018-02-23,92.7500,94.0700,92.3600,94.0600,25779955
2018-02-22,92.0500,92.7300,91.3600,91.7300,22723756
2018-02-21,92.9800,93.3595,91.4900,91.4900,26081953
2018-02-20,91.4750,93.0600,91.0100,92.7200,30107057
2018-02-16,92.4500,93.5000,91.8000,92.0000,30188535
2018-02-15,91.2100,92.7200,90.6200,92.6600,27407914
2018-02-14,88.5100,90.9900,88.4100,90.8100,34314101
2018-02-13,88.9300,90.0000,87.8000,89.8300,26200053
2018-02-12,88.7350,89.7800,87.9295,89.1300,35501368
2018-02-09,86.3000,88.9300,83.8300,88.1800,57408480
2018-02-08,89.7100,89.8750,84.7600,85.0100,47485202
2018-02-07,90.4900,91.7700,89.2000,89.6100,40340551
2018-02-06,86.8900,91.4750,85.2500,91.3300,66157030
2018-02-05,90.5600,93.2400,88.0000,88.0000,42253469
2018-02-02,93.6400,93.9700,91.5000,91.7800,47076959
2018-02-01,94.7900,96.0700,93.5813,94.2600,46645657
2018-01-31,93.7500,95.4000,93.5100,95.0100,44284284
2018-01-30,93.3000,93.6600,92.1000,92.7400,34153798
2018-01-29,95.1400,95.4500,93.7200,93.9200,30409620
2018-01-26,93.1200,94.0600,92.5800,94.0600,26348999
2018-01-25,92.4650,93.2400,91.9300,92.3300,23983094
2018-01-24,92.5500,93.4300,91.5800,91.8200,32107765
2018-01-23,91.9000,92.3000,91.5400,91.9000,22283365
2018-01-22,90.0000,91.6200,89.7400,91.6100,23190700
2018-01-19,90.1400,90.6100,89.6600,90.0000,34896964
2018-01-18,89.8000,90.6700,89.6600,90.1000,22931303
2018-01-17,89.0800,90.2800,88.7500,90.1400,24659472
2018-01-16,90.1000,90.7900,88.0104,88.3500,35945428
2018-01-12,88.6700,89.7800,88.4500,89.6000,24000439
2018-01-11,88.1300,88.1300,87.2400,88.0800,16529868
2018-01-10,87.8600,88.1900,87.4100,87.8200,18129153
2018-01-09,88.6500,88.7272,87.8600,88.2200,19390427
2018-01-08,88.2000,88.5800,87.6046,88.2800,20293930
2018-01-05,87.6600,88.4100,87.4300,88.1900,22526563
2018-01-04,86.5900,87.6600,86.5700,87.1100,21145985
2018-01-03,86.0550,86.5100,85.9700,86.3500,24173064
2018-01-02,86.1250,86.3100,85.5000,85.9500,21993101
2017-12-29,85.6300,86.0500,85.5000,85.5400,18162779
2017-12-28,85.9000,85.9300,85.5500,85.7200,9872795
2017-12-27,85.6500,85.9800,85.2150,85.7100,13000828
2017-12-26,85.3100,85.5346,85.0300,85.4000,9737412
2017-12-22,85.4000,85.6300,84.9200,85.5100,14033977
2017-12-21,86.0500,86.1000,85.4000,85.5000,16638402
2017-12-20,86.2000,86.3000,84.7100,85.5200,23425009
2017-12-19,86.3500,86.3500,85.2700,85.8300,23241979
2017-12-18,87.1200,87.4999,86.2300,86.3800,21551076
2017-12-15,85.2600,87.0900,84.8800,86.8500,52430167
2017-12-14,85.4300,85.8739,84.5300,84.6900,19080106
2017-12-13,85.7400,86.0000,85.1700,85.3500,21307911
2017-12-12,85.3100,86.0500,85.0800,85.5800,23534946
2017-12-11,84.2900,85.3700,84.1200,85.2300,19909119
2017-12-08,83.6300,84.5800,83.3300,84.1600,23825056
2017-12-07,82.5400,82.8000,82.0000,82.4900,20378114
2017-12-06,81.5500,83.1400,81.4300,82.7800,24821403
2017-12-05,81.3400,82.6800,80.9801,81.5900,25512120
2017-12-04,84.4200,84.4299,80.7000,81.0800,37977732
2017-12-01,83.6000,84.8100,83.2200,84.2600,29387325
2017-11-30,83.5100,84.5200,83.3400,84.1700,32998408
2017-11-29,84.7100,84.9172,83.1750,83.3400,27358477
2017-11-28,84.0700,85.0600,84.0200,84.8800,21162639
2017-11-27,83.3100,83.9800,83.3000,83.8700,17603760
2017-11-24,83.0100,83.4300,82.7800,83.2600,7425503
2017-11-22,83.8300,83.9000,83.0400,83.1100,20213704
2017-11-21,82.7400,83.8400,82.7400,83.7200,21237454
2017-11-20,82.4000,82.5900,82.2500,82.5300,16072495
2017-11-17,83.1200,83.1200,82.2400,82.4000,21715498
2017-11-16,83.1000,83.4200,82.9400,83.2000,20659209
2017-11-15,83.4700,83.6900,82.6900,82.9800,19097333
2017-11-14,83.5000,84.1000,82.9800,84.0500,18604034
2017-11-13,83.6600,83.9400,83.4600,83.9300,14080820
2017-11-10,83.7900,84.0950,83.2300,83.8700,19340435
2017-11-09,84.1100,84.2700,82.9000,84.0900,20924172
2017-11-08,84.1400,84.6100,83.8300,84.5600,18034170
2017-11-07,84.7700,84.9000,83.9300,84.2700,17152583
2017-11-06,84.2000,84.7000,84.0825,84.4700,19039847
2017-11-03,84.0800,84.5400,83.4000,84.1400,17569120
2017-11-02,83.3500,84.4600,83.1200,84.0500,23822964
2017-11-01,83.6800,83.7600,82.8800,83.1800,22039635
2017-10-31,84.3600,84.3600,83.1100,83.1800,26728947
2017-10-30,83.7000,84.3250,83.1050,83.8900,31291801
2017-10-27,84.3700,86.2000,83.6100,83.8100,70877350
2017-10-26,79.2000,79.4200,78.7500,78.7600,29181652
2017-10-25,78.5800,79.1000,78.0100,78.6300,19714512
2017-10-24,78.9000,79.2000,78.4600,78.8600,16613928
2017-10-23,78.9900,79.3400,78.7600,78.8300,20479731
2017-10-20,78.3200,78.9700,78.2200,78.8100,22517092
2017-10-19,77.5700,77.9300,77.3500,77.9100,14982129
2017-10-18,77.6700,77.8500,77.3700,77.6100,13147124
2017-10-17,77.4700,77.6200,77.2500,77.5900,15953665
2017-10-16,77.4200,77.8100,77.3500,77.6500,12331147
2017-10-13,77.5900,77.8700,77.2900,77.4900,15250772
2017-10-12,76.4900,77.2900,76.3700,77.1200,16778148
2017-10-11,76.3600,76.4600,75.9500,76.4200,14780652
2017-10-10,76.3300,76.6300,76.1400,76.2900,13734627
