05.10.2000;55,5;22,69
06.10.2000;55,81;22,62
09.10.2000;55,63;21,62
10.10.2000;53,94;20,12
11.10.2000;54;20,31
12.10.2000;56,31;20,25
13.10.2000;53,88;22,31
16.10.2000;53,5;21,69
17.10.2000;51,88;19,44
18.10.2000;49,63;19,16
19.10.2000;58,44;19,06
20.10.2000;61,31;20,27
23.10.2000;64,62;20,69
24.10.2000;62,63;19,06
25.10.2000;61,94;18,81
26.10.2000;61;18,87
27.10.2000;64,69;19,12
30.10.2000;67,5;19,75
31.10.2000;69;19,44
01.11.2000;68,5;21,12
02.11.2000;70,37;23
03.11.2000;69,25;22,44
06.11.2000;68,69;21,5
07.11.2000;69,75;21,37
08.11.2000;71,12;19,87
09.11.2000;68,5;19,36
10.11.2000;69,94;18,75
13.11.2000;66,69;19,94
14.11.2000;68;20,03
15.11.2000;69,06;19,5
16.11.2000;69,44;19,19
17.11.2000;69,44;18,59
20.11.2000;68,12;19,19
21.11.2000;67,37;18,81
22.11.2000;66,06;18,86
24.11.2000;69;19,87
27.11.2000;71,44;18,69
28.11.2000;69,37;18,09
29.11.2000;66,81;16,69
30.11.2000;62;17
01.12.2000;58,06;17,19
04.12.2000;57,25;16,94
05.12.2000;59,19;14,63
06.12.2000;60;14,44
07.12.2000;53,44;14,81
08.12.2000;54,63;15,19
11.12.2000;55,5;15,25
12.12.2000;57,81;15,56
13.12.2000;60,5;15,03
14.12.2000;57,94;14,56
15.12.2000;51,05;14,56
18.12.2000;49;14,38
19.12.2000;47,44;13,78
20.12.2000;42,81;14,25
21.12.2000;40,75;14,13
22.12.2000;44,75;14,88
26.12.2000;46,88;14,34
27.12.2000;46,13;14,38
28.12.2000;45,13;14,69
29.12.2000;43,94;14,88
02.01.2001;44,13;14,5
03.01.2001;43,19;18,14
04.01.2001;47,81;16,94
05.01.2001;48,5;16,94
08.01.2001;48,94;16,81
09.01.2001;50;16,69
10.01.2001;51;16,25
11.01.2001;53;17,87
12.01.2001;54,88;17,44
16.01.2001;53,38;17,56
17.01.2001;53,63;17,81
18.01.2001;53,69;19,44
19.01.2001;60;19,06
22.01.2001;60,75;19,31
23.01.2001;59,75;20,62
24.01.2001;61;20,56
25.01.2001;62,75;19,5
26.01.2001;61;19,56
29.01.2001;63,56;21,56
30.01.2001;64,5;21,5
31.01.2001;63;20,69
01.02.2001;60,81;21,12
02.02.2001;62,5;20,5
05.02.2001;60,75;20,16
06.02.2001;62,06;20,66
07.02.2001;62;20,56
08.02.2001;63,75;20,5
09.02.2001;61,31;19,06
12.02.2001;58,81;19,94
13.02.2001;59,63;19,19
14.02.2001;57,63;19,69
15.02.2001;59;19
16.02.2001;57;19,19
20.02.2001;57,38;18,25
