Wortlänge;Kommt in % vor
2;9,614427173
3;22,46501079
4;12,45228744
5;14,41610887
6;12,26420313
7;9,371023953
8;6,057421032
9;3,839132599
10;4,154450407
11;1,521270122
12;1,88084306
13;1,205952315
14;0,414891852
15;0,105105936
16;0,071914588
17;0,027659457
18;0,016595674
19;0,116169718
23;0,005531891
